task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
45	cd/bfe0e9	686837	featureCounts (SRX1836007_SRR3655791AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:03.975	24.1s	18.4s	97.1%	134 MB	335.6 MB	1.6 GB	24.7 MB
49	25/49ce5b	686843	featureCounts (SRX1836010_SRR3655797AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:13.604	24.5s	19.1s	98.0%	133.5 MB	335.6 MB	1.7 GB	24.7 MB
57	87/2b83d1	686848	featureCounts (SRX1836011_SRR3655799AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:13.866	24.2s	20.4s	98.3%	135 MB	335.6 MB	1.7 GB	24.7 MB
61	c6/870ef2	686853	featureCounts (SRX1836009_SRR3655795AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:14.206	23.9s	20.9s	97.7%	130.9 MB	335.6 MB	1.7 GB	24.7 MB
69	92/503f10	686858	featureCounts (SRX1836012_SRR3655801AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:18.811	24.3s	19.9s	98.3%	135.8 MB	335.6 MB	1.6 GB	24.7 MB
74	c6/cb3942	686863	featureCounts (SRX1836010_SRR3655798AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:19.352	23.8s	18.9s	98.1%	131.3 MB	335.6 MB	1.7 GB	24.7 MB
29	67/4dbfec	686825	star (SRX1836008_SRR3655793)	COMPLETED	0	2023-01-09 16:14:53.977	5m 54s	5m 47s	515.0%	23.9 GB	25.7 GB	32.7 GB	7.3 GB
46	d3/be2edb	686836	stringtieFPKM (SRX1836007_SRR3655791AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:03.885	59.2s	53.2s	108.1%	413.1 MB	491.9 MB	1.7 GB	343.1 MB
43	d5/bb3ba2	686835	qualimap (SRX1836007_SRR3655791Aligned.sortedByCoord.out)	COMPLETED	0	2023-01-09 16:20:03.872	1m 9s	1m 4s	107.7%	9.1 GB	19.3 GB	1.6 GB	524.1 KB
78	af/1c55b0	686871	featureCounts (SRX1836008_SRR3655793AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:49.394	23.7s	17.9s	97.4%	131.9 MB	335.6 MB	1.6 GB	24.7 MB
50	22/53b253	686839	stringtieFPKM (SRX1836010_SRR3655797AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:13.263	1m 5s	57.6s	109.8%	509.1 MB	610.4 MB	1.8 GB	350.3 MB
56	c5/2ba7fd	686845	stringtieFPKM (SRX1836011_SRR3655799AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:13.725	1m 4s	58.9s	110.5%	567.5 MB	775.2 MB	1.8 GB	347.7 MB
63	10/313584	686852	stringtieFPKM (SRX1836009_SRR3655795AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:14.158	1m 9s	1m 1s	106.8%	423.2 MB	642.6 MB	1.8 GB	343.7 MB
62	54/1e7b5e	686854	qualimap (SRX1836009_SRR3655795Aligned.sortedByCoord.out)	COMPLETED	0	2023-01-09 16:20:14.260	1m 9s	1m 5s	106.4%	9.9 GB	19.3 GB	1.7 GB	524.2 KB
70	3b/50053c	686856	stringtieFPKM (SRX1836012_SRR3655801AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:18.388	1m 5s	1m 2s	109.4%	470.8 MB	614.9 MB	1.8 GB	347.6 MB
76	63/8d0a2d	686865	stringtieFPKM (SRX1836010_SRR3655798AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:19.586	1m 4s	55.4s	110.3%	505.1 MB	605.2 MB	1.8 GB	350.3 MB
51	ab/ced84e	686841	qualimap (SRX1836010_SRR3655797Aligned.sortedByCoord.out)	COMPLETED	0	2023-01-09 16:20:13.522	1m 15s	1m 6s	107.4%	10.2 GB	19.3 GB	1.7 GB	540 KB
55	e5/a249e2	686844	qualimap (SRX1836011_SRR3655799Aligned.sortedByCoord.out)	COMPLETED	0	2023-01-09 16:20:13.656	1m 14s	1m 9s	108.1%	10 GB	19.3 GB	1.7 GB	505.2 KB
75	ea/175272	686864	qualimap (SRX1836010_SRR3655798Aligned.sortedByCoord.out)	COMPLETED	0	2023-01-09 16:20:19.390	1m 9s	1m 2s	105.2%	9.4 GB	19.3 GB	1.7 GB	538.2 KB
65	4b/4d89d0	686859	qualimap (SRX1836012_SRR3655801Aligned.sortedByCoord.out)	COMPLETED	0	2023-01-09 16:20:19.050	1m 14s	1m 7s	108.8%	9.6 GB	19.3 GB	1.6 GB	547.6 KB
80	33/4a74d2	686869	qualimap (SRX1836008_SRR3655793Aligned.sortedByCoord.out)	COMPLETED	0	2023-01-09 16:20:48.434	1m 5s	1m	107.3%	9.8 GB	19.2 GB	1.6 GB	558.5 KB
82	65/872414	686872	stringtieFPKM (SRX1836008_SRR3655793AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:49.521	1m 4s	58.8s	107.5%	471.7 MB	604.2 MB	1.7 GB	343.6 MB
42	dc/b96139	686832	preseq (SRX1836007_SRR3655791AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:03.664	1m 59s	1m 51s	99.1%	14.3 MB	101 MB	1 GB	460 KB
48	71/e02c87	686838	preseq (SRX1836010_SRR3655797AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:13.194	1m 50s	1m 42s	99.3%	10.4 MB	97.8 MB	1.1 GB	455.6 KB
54	f2/6db396	686846	preseq (SRX1836011_SRR3655799AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:13.760	1m 54s	1m 49s	99.6%	14.3 MB	101 MB	1.1 GB	456.4 KB
68	d9/55bfaa	686857	preseq (SRX1836012_SRR3655801AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:18.583	1m 50s	1m 44s	99.6%	10.2 MB	97.8 MB	1.1 GB	456.6 KB
72	56/9ee893	686862	preseq (SRX1836010_SRR3655798AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:19.213	1m 49s	1m 45s	99.6%	10.1 MB	97.8 MB	1.1 GB	455.6 KB
60	56/ff02fd	686850	preseq (SRX1836009_SRR3655795AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:14.045	1m 59s	1m 56s	99.6%	12.9 MB	99.4 MB	1.1 GB	459.9 KB
79	14/195bc8	686868	preseq (SRX1836008_SRR3655793AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:48.328	1m 40s	1m 35s	99.5%	10.3 MB	97.8 MB	1 GB	462.2 KB
36	36/139dc6	686821	star (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-09 16:14:53.484	7m 50s	7m 44s	580.0%	24 GB	25.9 GB	51.5 GB	16.1 GB
39	bc/1db71e	686819	star (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-09 16:14:53.277	7m 55s	7m 45s	574.7%	24 GB	25.9 GB	54.5 GB	17.4 GB
37	94/a4221f	686822	star (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-09 16:14:53.570	8m 10s	8m 4s	583.7%	24 GB	26 GB	53 GB	16.9 GB
85	fe/a99667	686877	featureCounts (SRX1836008_SRR3655794AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:22:43.341	39.8s	34s	98.0%	135.9 MB	335.6 MB	2.3 GB	24.7 MB
44	8c/be0720	686834	markDuplicates (SRX1836007_SRR3655791AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:03.810	3m 24s	3m 18s	105.5%	4.3 GB	11.4 GB	3 GB	882.3 MB
91	93/243d32	686880	featureCounts (SRX1836009_SRR3655796AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:22:48.156	40s	36.2s	98.3%	135.6 MB	335.6 MB	2.3 GB	24.7 MB
52	aa/31e75d	686840	markDuplicates (SRX1836010_SRR3655797AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:13.379	3m 30s	3m 22s	104.4%	4.3 GB	11.3 GB	3.1 GB	938.9 MB
67	2b/bb65d5	686860	markDuplicates (SRX1836012_SRR3655801AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:19.114	3m 24s	3m 14s	105.2%	4.2 GB	11.4 GB	3 GB	913 MB
