	Gene ID	Gene Name	flight1	flight2	flight3	ground1	ground2	ground3
32979	AT5G67080	MAPKKK19	0.138272	0.251286	1.347661	1.963002	1.328999	0.828503
32980	AT5G67090	AT5G67090	2.425718	1.986013	1.354008	1.85011	2.022627	1.920237
32981	AT5G67100	POLA	10.380718	6.496164	8.082134	10.416704	7.743212	8.374891
32982	AT5G67110	ALC	8.125849	5.753932	8.831514	7.339363	6.02425	4.157908
32983	AT5G67120	AT5G67120	0.0	0.0	0.0	0.0	0.0	0.0
32984	AT5G67130	AT5G67130	19.824711	20.690781	19.117598	26.901808	23.140736	25.747234
32985	AT5G67140	AT5G67140	7.039989	7.11731	6.399786	3.678143	6.9237	5.344903
32986	AT5G67150	AT5G67150	10.568991	14.900691	9.733215	14.262616	13.241334	11.879393
32987	AT5G67160	EPS1	6.97803	10.224886	4.034906	10.796045	9.720247	12.077753
32988	AT5G67170	AT5G67170	9.932055	6.187531	9.380582	8.395763	7.612016	11.989096
32989	AT5G67180	TOE3	1.280704	1.31702	0.91906	0.920001	1.249785	0.553621
32990	AT5G67190	ERF010	33.316986	38.051796	33.841881	8.003858	16.452028	9.97895
32991	AT5G67200	AT5G67200	4.616946	6.080305	3.600974	9.705855	8.843947	7.099856
32992	AT5G67210	IRX15-L	19.267288	18.774883	18.886616	28.478699	31.238918	31.121859
32993	AT5G67220	AT5G67220	56.591148	48.830769	43.843758	60.112114	49.166454	47.99551
32994	AT5G67230	IRX14H	1.496206	2.560203	1.778864	3.235788	2.71332	1.995513
32995	AT5G67240	SDN3	23.610479	18.297695	17.950264	28.635906	19.486774	21.915665
32996	AT5G67245	AT5G67245	7.236524	9.520956	9.555091	8.380024	7.194565	12.179187
32997	AT5G67250	SKIP2	46.654102	55.104465	42.571259	41.478573	40.090313	38.327747
32998	AT5G67260	CYCD3-2	24.970505	24.0604	23.753996	28.644529	19.337198	20.297443
32999	AT5G67265	AT5G67265	0.0	0.0	0.0	0.0	1.095778	0.0
33000	AT5G67270	EB1C	20.608606	16.035872	20.70043	31.789648	27.86841	30.050282
33001	AT5G67280	RLK	2.339897	3.947137	2.420482	4.77578	3.335087	3.761657
33002	AT5G67290	AT5G67290	8.554121	10.633162	12.786307	9.043734	8.601853	8.576655
33003	AT5G67300	MYB44	35.845249	35.798088	40.677307	54.335682	51.891674	51.295734
33004	AT5G67310	CYP81G1	0.0	0.0	0.0	0.0	0.0	0.0
33005	AT5G67320	HOS15	40.526119	30.735394	31.084272	37.706059	37.806503	34.957497
33006	AT5G67330	NRAMP4	22.376949	29.306908	21.211864	28.648621	23.263729	25.562056
33007	AT5G67340	PUB2	4.861797	5.89184	7.040108	5.960198	8.240078	8.99494
33008	AT5G67350	AT5G67350	6.729535	13.040974	9.179637	10.302126	8.844894	11.045117
33009	AT5G67360	SBT1.7	48.394875	55.834026	48.303047	55.866764	49.513496	42.267223
33010	AT5G67370	AT5G67370	3.283939	10.437006	3.877126	12.291055	5.145498	11.128807
33011	AT5G67380	CKA1	71.329262	89.088181	70.194016	45.770275	58.49514	50.412678
33012	AT5G67385	AT5G67385	1.552019	1.425659	1.45596	1.283791	1.101624	0.757133
33013	AT5G67390	AT5G67390	15.911707	18.222021	19.759865	9.830827	10.859541	10.372211
33014	AT5G67400	PER73	45.023457	33.301258	43.782089	54.910221	47.950714	65.244125
33015	AT5G67410	AT5G67410	0.961614	2.312099	3.468122	2.955124	1.490873	1.21662
33016	AT5G67411	SCL16	0.0	0.0	0.0	0.0	0.0	0.0
33017	AT5G67420	LBD37	67.358948	47.528477	59.988651	62.197933	63.633823	62.779331
33018	AT5G67430	AT5G67430	2.872287	3.934461	2.467962	4.202474	4.360776	4.935974
33019	AT5G67440	NPY3	8.265495	9.442294	6.659125	5.218183	7.464014	5.73481
33020	AT5G67450	AZF1	4.689388	3.323914	6.216113	3.221049	6.139914	7.92116
33021	AT5G67460	AT5G67460	5.930049	6.010282	8.159215	8.080487	9.560548	7.466343
33022	AT5G67455	AT5G67455	0.0	0.0	0.0	0.0	0.0	0.0
33023	AT5G67470	FH6	22.824705	18.601395	18.370054	27.263184	28.760426	23.307261
33024	AT5G67480	BT4	23.667965	18.706177	31.998138	23.231239	28.252163	25.263372
33025	AT5G67488	AT5G67488	87.275345	0.0	0.0	0.306464	0.0	73.985451
33026	AT5G67490	AT5G67490	15.052095	75.184685	94.56234	75.222878	92.670914	13.073925
33027	AT5G67500	VDAC2	154.223633	178.07341	150.346909	231.755905	174.303162	219.173767
33028	AT5G67510	RPL26B	88.78614	87.140625	82.905724	173.068283	111.759872	129.034195
33029	AT5G67520	APK4	16.756454	18.672548	19.471712	6.696761	11.698929	11.515063
33030	AT5G67530	CYP65	21.619637	19.874962	22.314087	17.767267	17.845118	19.034206
33031	AT5G67540	AT5G67540	15.004514	17.072107	12.705339	19.454369	17.349571	13.973411
33032	AT5G67550	AT5G67550	1.477892	0.169416	1.700289	0.901207	2.061876	0.858451
33033	AT5G67560	ATARLA1D	53.883457	62.48531	53.326389	48.455666	47.197918	57.44368
