gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
AT2G18080	EDA2	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18090	AT2G18090	23.928701	25.895708	20.373278	21.554234	21.098026	22.401953
AT2G18100	AT2G18100	3.863936	3.377021	2.444381	2.216843	4.230376	2.002872
AT2G18110	AT2G18110	113.754951	115.644196	128.628723	134.938568	108.013176	101.044388
AT2G18115	AT2G18115	0.023677	0.0	0.0	0.0	0.0	0.0
AT2G18120	SRS4	0.36159	0.515115	0.0	2.027661	2.235113	1.316057
AT2G18130	PAP11	0.0	0.0	0.0	0.113935	0.0	0.0
AT2G18140	PER14	1.466419	3.5655	3.019205	12.331851	18.178457	12.851216
AT2G18150	PER15	29.938063	57.523731	27.669373	183.326782	217.567429	176.06636
AT2G18160	ATBZIP2	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18162	CPuORF1	155.831009	0.0	0.0	0.0	0.0	0.0
AT2G18170	MPK7	15.602193	10.60211	14.093114	12.858506	15.05748	16.103378
AT2G18180	SFH10	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18190	AT2G18190	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18193	AT2G18193	10.121144	8.875504	12.918	16.251005	12.456079	12.969969
AT2G18196	AT2G18196	57.791664	49.410809	59.458298	25.370811	29.595633	24.249859
AT2G18200	AT2G18200	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18210	AT2G18210	10.201808	7.951765	10.751645	8.525157	11.874704	9.838036
AT2G18220	AT2G18220	19.303747	15.399868	13.858906	27.608173	16.646646	17.496174
AT2G18230	PPA2	22.713106	25.281286	26.529398	37.446941	28.769115	28.503115
AT2G18240	AT2G18240	11.457008	20.69961	19.304495	20.51037	16.648771	15.293372
AT2G18245	AT2G18245	8.167768	5.797536	8.247152	11.000319	8.772699	9.397651
AT2G18250	COAD	26.380501	20.792015	28.289143	24.536736	23.588135	26.851761
AT2G18260	SYP112	0.0	0.0	1.078028	0.0	0.076591	0.471017
AT2G18280	TULP2	77.25415	75.677719	75.899292	26.997362	46.82143	35.470219
AT2G18270	AT2G18270	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18290	APC10	7.885527	12.759005	16.52931	18.265184	14.18326	27.915798
AT2G18300	HBI1	1.688043	2.15791	1.72698	0.541222	2.724062	1.879029
AT2G18328	RL4	0.435245	0.0	0.34929	0.984523	0.0	0.008106
AT2G18330	AT2G18330	13.041154	11.17391	10.940629	23.798235	14.663576	17.601109
AT2G18340	AT2G18340	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18350	ZHD6	2.11829	2.100708	2.811691	2.319013	3.878873	2.166395
AT2G18360	AT2G18360	8.672934	8.022726	13.217923	19.129147	13.325603	15.120219
AT2G18370	LTP8	49.417847	44.225266	63.948154	76.451843	96.777794	88.043648
AT2G18380	GATA20	6.682213	8.081012	9.743887	8.791014	11.231066	4.746572
AT2G18390	ARL2	58.282272	63.024937	57.838806	55.867073	64.986526	53.92482
AT2G18400	AT2G18400	51.929092	45.234322	50.927757	76.286163	56.932453	61.217308
AT2G18410	ELP5	10.403987	13.032278	10.22	16.943346	14.182531	16.176687
AT2G18440	GUT15	139.571823	127.329704	134.361893	69.496773	104.472305	90.489525
AT2G18450	SDH1-2	6.342056	4.635752	8.607019	6.226754	6.584589	8.615432
AT2G18460	LCV3	0.0	0.0	0.403733	0.242623	0.0	0.0
AT2G18465	AT2G18465	6.955433	11.800471	8.651092	8.440329	11.948445	10.530083
AT2G18470	PERK4	2.900564	3.218021	4.200052	14.292494	15.507672	12.640752
AT2G18480	PLT3	7.016828	1.532668	1.490161	3.134956	6.064693	4.772042
AT2G18500	OFP7	8.574933	8.656798	9.94627	13.525145	17.378252	13.09793
AT2G18510	emb2444	24.667192	26.124163	21.649319	44.746754	31.864716	33.746399
AT2G18520	AT2G18520	5.094101	5.514208	3.821036	10.060628	5.052319	6.727451
AT2G18550	ATHB-21	1.56707	12.050908	5.926758	1.666226	4.416955	5.703168
AT2G18560	AT2G18560	15.273939	20.835342	11.542472	13.679854	14.162792	11.603982
AT2G18570	UGT72D1	38.031208	40.625278	33.932549	38.983765	39.416584	34.033329
AT2G18590	AT2G18590	1.410052	1.354074	0.777679	1.126477	1.622197	1.667634
AT2G18600	RCE2	10.339689	14.717857	13.339458	11.617928	13.290874	11.199334
AT2G18620	AT2G18620	4.520837	3.541733	2.429154	11.20149	11.291456	9.521401
AT2G18630	AT2G18630	22.947916	22.420855	17.195892	27.739077	26.446424	25.76403
AT2G18640	GGPP4	1.054772	1.030115	2.744277	1.380264	1.597715	0.482327
AT2G18650	ATL49	4.740778	2.528257	2.901878	2.455191	2.040318	2.70542
AT2G18660	EGC2	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18670	ATL56	6.281852	2.826171	4.942799	2.63265	2.774021	2.606388
AT2G18680	AT2G18680	5e-06	0.010269	0.000462	0.00363	0.006624	0.003862
AT2G18690	AT2G18690	19.677584	26.876816	23.828058	10.424009	14.542112	16.230877
AT2G18700	TPS11	90.314034	90.739624	95.034142	10.007677	37.358879	27.374056
AT2G18710	SCY1	25.942417	23.827675	21.412411	12.243827	17.084171	16.130419
AT2G18720	AT2G18720	0.353596	0.0	0.0	0.738342	0.771512	0.548802
AT2G18721	AT2G18721	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18730	DGK3	25.92115	27.510475	26.672365	38.688786	31.469526	38.030334
AT2G18735	AT2G18735	9.183224	9.361401	11.506991	3.759857	7.268927	5.060207
AT2G18740	AT2G18740	57.900997	60.058098	77.86425	103.348488	95.442833	95.841385
AT2G18750	CBP60C	115.915779	91.587486	118.732742	53.391609	66.739143	57.666927
AT2G18760	CHR8	7.796346	8.616289	6.158123	7.124377	8.232001	6.977498
AT2G18770	AT2G18770	22.840042	20.123543	21.374218	16.413456	17.651169	16.539196
AT2G18780	AT2G18780	2.192921	3.740715	2.084287	2.747449	2.673365	4.345368
AT2G18790	PHYB	23.416346	27.058407	17.531954	33.571243	31.030294	32.617359
AT2G18800	XTH21	37.349792	40.84478	46.873199	22.127838	20.386356	26.098049
AT2G18840	AT2G18840	27.101892	25.354052	19.705166	28.056158	19.552151	18.652725
AT2G18850	AT2G18850	7.415946	5.760762	4.234778	7.215387	6.35988	6.799713
AT2G18860	AT2G18860	20.64859	22.175076	24.961666	22.415596	22.712164	19.975084
AT2G18876	AT2G18876	22.6	21.772676	21.196796	19.055161	20.87961	18.136257
AT2G18880	VIL3	0.01394	0.015522	0.0	0.017264	0.0	0.0
AT2G18890	AT2G18890	11.423428	14.648976	15.037739	10.406712	11.818937	12.252131
AT2G18900	AT2G18900	11.914496	10.013359	11.007479	22.21686	13.834851	13.672191
AT2G18910	AT2G18910	21.998522	16.820282	16.247168	26.592495	21.545734	26.426943
AT2G18915	ADO2	15.723088	14.62358	17.399677	10.508794	12.129678	10.334793
AT2G18917	AT2G18917	0.87009	0.0	0.878441	0.0	0.497595	0.306003
AT2G18920	AT2G18920	0.0	0.0	0.0	0.0	0.0	0.0
AT2G18938	AT2G18938	1.408442	0.409214	2.687819	1.673556	4.7801	1.173225
AT2G18940	AT2G18940	8.827534	10.127835	7.289364	9.226934	6.296933	7.117461
