gene_id	transcript_id(s)	flight1	flight2	flight3	ground1	ground2	ground3
AT4G26095	AT4G26095.1	1.39	3.64	0.00	1.32	0.00	0.00
AT4G26100	AT4G26100.1	15.81	13.13	16.03	20.77	16.42	17.98
AT4G26110	AT4G26110.1,AT4G26110.2	78.08	82.55	79.70	109.06	89.35	90.04
AT4G26120	AT4G26120.1	1.06	0.82	2.48	0.60	0.72	0.84
AT4G26130	AT4G26130.1	43.58	25.25	41.06	58.21	72.70	63.35
AT4G26140	AT4G26140.1,AT4G26140.2	5.63	2.65	6.22	5.26	3.87	4.74
AT4G26150	AT4G26150.1	0.86	5.46	2.47	1.59	2.16	1.60
AT4G26160	AT4G26160.1	21.70	24.23	15.69	16.19	16.71	21.41
AT4G26170	AT4G26170.1	0.18	0.29	0.35	0.24	0.64	0.62
AT4G26180	AT4G26180.1	4.34	3.28	6.67	1.82	4.34	2.08
AT4G26190	AT4G26190.1	16.87	17.47	14.51	22.12	17.96	17.96
AT4G26200	AT4G26200.1	0.87	1.53	1.13	1.96	1.65	2.17
AT4G26210	AT4G26210.1,AT4G26210.2	40.54	41.20	37.28	59.97	42.08	48.05
AT4G26220	AT4G26220.1	53.97	56.34	59.34	54.08	56.88	66.22
AT4G26225	AT4G26225.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26230	AT4G26230.1	450.53	421.19	429.29	780.05	628.59	733.34
AT4G26240	AT4G26240.1	18.13	23.97	17.24	17.68	17.74	15.55
AT4G26250	AT4G26250.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26255	AT4G26255.1	0.00	0.40	0.00	0.00	0.08	0.00
AT4G26260	AT4G26260.1,AT4G26260.2	6.60	5.17	9.39	0.65	2.17	0.96
AT4G26270	AT4G26270.1	3.23	4.75	3.95	5.75	6.58	5.35
AT4G26280	AT4G26280.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26288	AT4G26288.1	5.75	11.80	16.86	0.77	1.73	1.54
AT4G26290	AT4G26290.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26300	AT4G26300.1	21.92	23.24	22.13	30.33	22.20	26.14
AT4G26310	AT4G26310.1,AT4G26310.2	16.19	19.99	22.06	23.14	19.57	18.64
AT4G26320	AT4G26320.1	406.80	384.69	418.02	388.48	249.55	372.26
AT4G26330	AT4G26330.1	0.46	0.39	0.39	0.10	0.24	0.22
AT4G26340	AT4G26340.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26350	AT4G26350.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26360	AT4G26360.1	0.06	0.00	0.00	0.00	0.12	0.00
AT4G26365	AT4G26365.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26370	AT4G26370.1,AT4G26370.2	4.78	3.58	5.09	4.18	5.54	3.27
AT4G26375	AT4G26375.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26380	AT4G26380.1	0.50	0.19	0.22	0.34	0.32	0.10
AT4G26385	AT4G26385.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26390	AT4G26390.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26400	AT4G26400.1,AT4G26400.2	33.64	36.50	33.50	11.37	17.50	14.65
