,Geneid,gene_name,SRR3655795Aligned.sortedByCoord.out.bam,SRR3655801Aligned.sortedByCoord.out.bam,SRR3655791Aligned.sortedByCoord.out.bam,SRR3655798Aligned.sortedByCoord.out.bam,SRR3655797Aligned.sortedByCoord.out.bam,SRR3655799Aligned.sortedByCoord.out.bam,SRR3655793Aligned.sortedByCoord.out.bam,SRR3655800Aligned.sortedByCoord.out.bam,SRR3655802Aligned.sortedByCoord.out.bam,SRR3655792Aligned.sortedByCoord.out.bam,SRR3655794Aligned.sortedByCoord.out.bam,SRR3655796Aligned.sortedByCoord.out.bam
19429,bcs1l,,128,119,123,123,123,119,155,304,358,329,349,292
19430,cyp27a7,,966,1085,2361,291,291,1071,2792,2870,2743,6063,7051,2246
19431,cyp27a1.2,,46,44,190,7,7,58,109,166,121,434,314,88
19432,zgc:136333,,130,315,651,73,73,342,352,887,700,1446,939,295
19433,cyp27a1.4,,242,319,221,50,50,326,336,835,787,501,862,610
19434,mcm3ap,,195,342,244,382,382,317,223,767,887,582,585,488
19435,lss,,29,970,77,877,877,1592,81,3890,2549,196,234,60
19436,lmln,,14,25,15,80,80,48,13,117,58,38,42,74
19437,osbpl11,,98,100,151,189,189,197,171,423,266,357,425,236
19438,si:dkey-101k6.5,,14,37,20,550,550,48,17,120,92,41,56,34
19439,snx4,,405,868,480,1213,1213,848,521,2125,2082,1196,1407,911
19440,znf148,,128,166,134,244,244,202,157,503,422,350,328,294
19441,slc12a8,,155,216,136,164,164,210,145,531,509,301,364,384
19442,heg1,,97,67,92,290,290,70,90,212,224,229,200,220
19446,kansl1l,,6,13,5,55,55,19,6,42,26,20,25,19
19447,map2,,3,16,2,12,12,3,6,26,29,14,14,10
19448,myl1,,0,7,0,0,0,0,0,1,19,1,0,0
19449,cps1,,0,3,1,9,9,0,6,1,12,3,8,0
19450,erbb4b,,2,3,0,12,12,8,1,22,12,6,1,13
19452,LOC101883027,,0,0,0,1,1,0,0,0,0,0,0,0
19453,LOC103911682,,0,0,0,0,0,0,0,0,0,0,0,0
19454,LOC108191338,,0,1,0,0,0,0,0,1,0,0,0,0
19455,si:zfos-1425h8.1,,106,123,68,53,53,86,166,265,310,146,467,264
19457,LOC103911684,,5,0,1,1,1,1,6,1,1,3,11,18
19459,bard1,,1,89,4,40,40,20,6,35,219,8,14,3
19460,abca12,,138,3,28,6,6,15,23,52,18,73,54,367
19461,pofut2,,30,60,40,60,60,44,10,121,136,92,44,74
19462,hibch,,262,431,299,140,140,284,319,702,990,640,806,539
19463,mstnb,,1,0,0,3,3,1,0,8,5,2,2,1
19464,pms1,,27,68,54,58,58,48,47,121,135,123,148,71
19465,ormdl1,,753,449,1150,224,224,588,1123,1476,987,2863,2842,1831
19466,adat3,,54,57,41,26,26,40,44,125,115,108,136,116
19467,osgepl1,,23,43,38,43,43,27,31,92,108,78,64,64
19468,ankar,,14,9,3,3,3,8,14,20,13,10,24,30
19469,zgc:136439,,194,197,185,109,109,184,239,547,521,473,646,455
19470,asnsd1,,211,273,199,305,305,273,217,675,635,455,518,561
19471,slc40a1,,675,1581,570,869,869,3363,1181,8496,3899,1517,2867,1673
19472,wdr75,,314,249,263,429,429,273,171,652,739,663,474,724
19473,stat4,,271,3668,491,696,696,2361,520,5901,9111,1159,1302,687
19474,stat1b,,389,706,313,5336,5336,1303,395,3297,1708,818,915,1003
19475,glsb,,1081,1452,391,1309,1309,419,371,1086,3705,802,911,2606
19476,nab1b,,39,49,58,600,600,107,51,218,117,135,118,104
19477,nemp2,,229,434,699,369,369,488,380,1190,1115,1648,973,580
19478,mfsd6b,,93,303,61,278,278,253,73,640,705,150,210,249
19479,spegb,,62,30,34,9,9,44,35,93,72,89,111,143
19481,ctdsp1,,395,824,461,915,915,758,485,1930,1997,1147,1350,1039
19484,si:dkeyp-30e7.2,,0,0,0,0,0,0,0,0,0,0,3,0
19485,col18a1a,,208,327,723,623,623,457,132,1141,891,1798,384,474
19486,pcbp3,,7,11,5,2,2,5,1,11,21,18,2,24
19487,lrrc3,,0,0,0,3,3,0,0,0,0,0,0,0
19488,si:dkey-10c21.1,,69,138,91,111,111,121,75,280,314,205,188,166
19489,calcrla,,12,3,12,12,12,6,9,37,17,30,8,45
19490,tfpia,,869,831,945,1382,1382,1178,1143,2846,2159,2383,2943,2090
19491,LOC103911686,,3,0,0,0,0,0,0,0,0,1,1,6
19492,gulp1a,,16,81,16,190,190,44,9,122,142,59,16,51
19493,col5a2a,,498,2807,286,2971,2971,1584,372,3987,7083,710,914,1165
19494,fkbp7,,74,119,38,129,129,76,43,178,258,110,68,186
19495,ttn.1,,0,56,5,28,28,2,117,4,112,25,312,0
19497,ccdc141,,0,0,2,1,1,22,0,57,1,2,2,1
19498,sestd1,,191,183,159,198,198,384,170,971,528,395,393,420
19499,znf385b,,2,1,1,10,10,2,3,5,12,3,0,4
19500,cwc22,,261,426,272,487,487,389,266,915,1121,696,659,631
19501,ube2e3,,677,668,562,785,785,700,576,1862,1700,1436,1509,1734
19502,itga4,,58,44,37,724,724,81,32,163,103,75,100,144
19503,cerkl,,2,7,4,10,10,4,1,7,12,7,3,4
19504,LOC110440049,,25,34,294,9,9,169,124,487,112,721,326,44
19505,neurod1,,23,42,35,30,30,23,34,74,110,71,72,48
19506,ssfa2,,1123,1136,1297,1120,1120,1233,1112,3089,2882,3449,2904,2893
19507,ppp1r1c,,11,2,2,3,3,9,3,14,8,15,8,26
19509,pde1a,,23,9,19,28,28,33,17,93,40,47,52,60
19512,nckap1,,950,1381,915,1143,1143,1556,937,3878,3466,2276,2467,2306
19513,frzb,,164,421,42,65,65,175,76,369,1055,114,179,322
19514,dnajc10,,166,447,167,448,448,482,166,1170,1117,450,498,389
19515,zgc:66484,,2215,1179,1432,741,741,1740,2608,4398,3037,3678,6949,5429
19516,vil1,,28879,21153,33988,8868,8868,15839,38932,39633,53917,86060,99590,70623
19517,itgb2,,245,835,215,8176,8176,866,266,2066,2082,482,893,625
19518,retsatl,,1,4,1,34,34,4,3,9,3,5,2,1
19519,adarb1b,,24,37,30,30,30,44,33,87,100,75,72,53
19520,agr1,,1,1,0,3,3,0,0,0,1,0,0,2
19521,traf3ip1,,59,48,42,72,72,42,21,120,131,101,73,155
19522,LOC101882148,,0,0,0,0,0,0,0,0,0,0,0,0
19523,asb1,,16,19,7,26,26,17,4,39,43,19,8,39
19525,twist2,,1,2,0,180,180,1,0,3,4,0,1,3
19526,hdac4,,71,68,82,121,121,136,89,285,189,225,237,165
19527,LOC559107,,3407,192,6132,177,177,228,6677,511,512,15206,16460,8133
19528,lct,,2483,305,3668,32,32,2052,24507,5223,766,9066,61634,5955
19529,cx43.4,,16,61,23,109,109,60,9,146,122,42,29,43
19530,LOC110440050,,0,1,0,0,0,0,0,0,0,0,0,0
19531,slc4a3,,18,9,3,12,12,11,7,30,12,14,12,52
19532,LOC103911691,,1,1,0,1,1,2,2,5,4,2,10,2
19533,igfbp2b,,11,24,11,46,46,127,12,314,57,35,17,24
