,Geneid,gene_name,SRR950087,SRR950082,SRR950086,SRR950080,SRR950085,SRR950078,SRR950079,SRR950083,SRR950081,SRR950084
5978,ENSG00000273019,RP11-508N22.13,31,3,8,12,42,13,25,34,44,8
5979,ENSG00000225965,RP11-508N22.6,2,4,3,6,3,5,1,6,2,5
5980,ENSG00000241125,RP11-508N22.9,0,2,0,0,1,1,1,0,0,1
5981,ENSG00000224761,RP11-508N22.8,7,3,5,0,5,2,1,1,4,5
5982,ENSG00000236309,RP11-508N22.10,0,0,1,1,0,0,0,0,1,0
5983,ENSG00000226113,RP11-672F9.1,3,0,2,0,3,1,7,2,4,7
5985,ENSG00000099251,HSD17B7P2,240,315,306,430,348,494,401,502,422,644
5986,ENSG00000120555,SEPT7P9,13,11,15,12,23,18,37,21,33,15
5987,ENSG00000222314,RNU6-1118P,0,0,0,0,0,0,0,0,0,1
5988,ENSG00000225119,LINC00999,29,61,54,64,76,87,59,74,87,96
5989,ENSG00000228882,CICP9,4,1,2,2,7,5,9,6,9,2
5990,ENSG00000203496,RP11-291L22.4,0,1,0,0,1,0,5,1,5,0
5996,ENSG00000227679,RP11-453N3.1,0,0,0,0,0,0,0,0,0,0
5998,ENSG00000229485,KSR1P1,1,0,0,0,0,0,0,1,0,0
5999,ENSG00000237592,IGKV1OR10-1,0,0,0,0,0,0,0,0,0,0
6000,ENSG00000271650,AL031601.4,0,0,0,0,0,0,0,0,2,0
6001,ENSG00000264398,AL031601.1,0,0,0,0,1,0,0,0,0,0
6002,ENSG00000228755,PABPC1P8,0,2,0,1,0,1,4,0,3,0
6003,ENSG00000215146,RP11-313J2.1,249,273,354,373,390,453,408,445,397,589
6004,ENSG00000182632,CCNYL2,20,18,13,13,53,28,55,52,61,31
6005,ENSG00000185904,LINC00839,257,204,265,301,386,317,478,493,466,396
6006,ENSG00000234420,ZNF37BP,2512,1196,1454,1689,3489,2061,3958,4493,4046,2402
6007,ENSG00000270762,FXYD6P1,1,0,0,0,0,0,0,0,1,0
6008,ENSG00000233837,EIF3LP2,3,1,2,7,12,8,15,13,9,7
6009,ENSG00000272373,ZNF33B,98,121,137,173,181,170,179,215,194,236
6010,ENSG00000272319,AL022345.7,8,0,1,6,7,6,9,14,11,5
6011,ENSG00000272387,AL022345.8,0,0,1,0,2,0,2,0,1,0
6012,ENSG00000271831,AL022345.9,0,0,0,0,2,0,1,3,2,0
6013,ENSG00000196693,ZNF33B,1138,1224,1530,1678,1489,1984,1693,1895,1777,2348
6014,ENSG00000251783,RNU6-1170P,0,3,0,5,5,2,5,3,2,8
6015,ENSG00000232109,AL022344.2,0,3,2,4,0,5,0,0,0,10
6016,ENSG00000233515,AL022344.4,0,25,15,27,0,21,0,0,0,31
6019,ENSG00000230425,RSU1P1,0,0,0,1,0,0,0,0,0,0
6020,ENSG00000270552,DUXAP3,0,0,0,0,0,0,0,0,1,0
6021,ENSG00000259869,AL022344.7,5,0,0,1,21,0,14,13,15,1
6022,ENSG00000165733,BMS1,1679,4000,4952,6213,2819,7219,3162,3310,3356,8544
6023,ENSG00000238732,snoU13,1,3,3,13,14,17,6,6,5,10
6025,ENSG00000234944,RP11-124O11.1,0,0,0,2,0,0,0,0,0,0
6028,ENSG00000165731,RET,845,313,361,445,1285,461,1431,1565,1473,546
6029,ENSG00000273008,RP11-351D16.3,37,30,36,27,35,39,33,41,45,48
6030,ENSG00000169826,CSGALNACT2,1119,1129,1381,1467,1587,1749,1903,2039,1956,2162
6031,ENSG00000198915,RASGEF1A,1689,149,181,217,2612,190,3028,3245,3177,243
6033,ENSG00000221468,RNU6ATAC11P,3,0,0,0,1,0,0,3,1,0
6034,ENSG00000150201,FXYD4,34,10,7,12,47,14,60,47,57,20
6035,ENSG00000169813,HNRNPF,2886,12507,14669,19262,4414,19677,5164,5379,5286,24242
6036,ENSG00000221400,U3,0,0,1,0,0,0,0,0,0,0
6037,ENSG00000230555,RP11-517P14.2,84,39,60,51,88,60,108,99,95,65
6038,ENSG00000243660,ZNF487,242,123,124,168,353,208,446,466,450,275
6039,ENSG00000252532,RNU7-193P,0,0,0,1,0,0,2,2,1,0
6040,ENSG00000236114,RP11-517P14.7,62,2,3,2,81,6,93,102,73,3
6041,ENSG00000196793,ZNF239,158,314,360,458,258,551,321,325,321,633
6042,ENSG00000232004,CAP1P2,7,5,6,5,4,8,7,7,7,7
