	gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
13548	AT3G23070	ATCFM3A	6.192272	6.064835	6.659617	6.468522	7.390857	5.374748
13549	AT3G23080	AT3G23080	7.845646	9.585473	13.019312	3.598511	5.921984	6.071795
13550	AT3G23085	AT3G23085	0.0	0.0	0.0	0.0	0.0	0.0
13551	AT3G23090	AT3G23090	112.795319	123.74559	104.473885	102.094475	104.294861	116.365479
13552	AT3G23100	XRCC4	12.012668	12.03599	20.363695	19.0506	12.999056	17.374428
13553	AT3G23110	AtRLP37	0.018069	0.0	0.151758	0.23508	0.174339	0.131967
13554	AT3G23109	AT3G23109	0.0	0.0	0.0	0.0	0.0	0.047636
13555	AT3G23120	AtRLP38	0.0	0.0	0.030784	0.0	0.17383	0.098673
13556	AT3G23125	MIR173	0.0	0.439075	0.0	1.285349	0.0	0.0
13557	AT3G23130	SUP	0.0	0.0	0.0	0.0	0.0	0.0
13558	AT3G23140	URO	0.0	0.0	0.0	0.0	0.0	0.0
13559	AT3G23145	AT3G23145	0.0	0.0	0.0	0.0	0.0	0.0
13560	AT3G23150	ETR2	11.782908	6.648989	9.369486	8.931892	12.611511	7.989558
13561	AT3G23160	AT3G23160	12.668594	11.684	10.615837	11.173923	12.429888	16.533154
13562	AT3G23165	LCR42	0.0	0.0	0.0	0.0	0.0	0.0
13563	AT3G23167	LCR39	0.0	0.0	0.0	0.0	0.0	0.0
13564	AT3G23170	AT3G23170	3.833193	6.400254	7.475601	7.725542	10.509753	9.140233
13565	AT3G23171	AT3G23171	0.0	0.0	0.0	0.0	0.0	0.0
13566	AT3G23172	AT3G23172	0.0	0.0	0.0	0.0	0.0	0.0
13567	AT3G23175	AT3G23175	45.900742	49.090652	51.022537	53.916481	52.162884	52.378098
13568	AT3G23180	AT3G23180	43.543224	39.117825	50.684521	33.83717	30.108051	38.229294
13569	AT3G23190	AT3G23190	79.479416	69.144844	82.28743	85.099609	71.577133	84.88475
13570	AT3G23200	AT3G23200	9.0189	12.230768	11.78588	14.250043	18.333473	16.54867
13571	AT3G23210	BHLH34	5.24602	5.880225	3.568309	10.495591	8.642952	13.85171
13572	AT3G23220	ERF095	0.0	0.0	0.0	0.0	0.0	0.0
13573	AT3G23230	ERF098	0.245327	0.0	0.0	0.0	0.328353	0.467408
13574	AT3G23240	ERF1B	0.924216	0.590403	0.495497	0.68121	1.12115	0.11132
13575	AT3G23245	AT3G23245	0.0	0.0	0.0	0.0	0.0	0.0
13576	AT3G23250	MYB15	3.804134	7.407548	2.706464	3.758443	2.615876	2.053249
13577	AT3G23255	AT3G23255	10.529863	7.151507	8.102594	5.480472	6.974965	6.929479
13578	AT3G23260	AT3G23260	2.993198	2.704074	1.414352	1.360979	1.701473	2.448095
13579	AT3G23270	AT3G23270	0.0	0.0	0.0	0.0	0.0	0.0
13580	AT3G23280	XBAT35	54.227089	54.741367	55.672729	44.409081	50.490898	48.373829
13581	AT3G23290	LSH4	1.857038	8.020353	5.94355	17.99641	15.124684	8.45078
13582	AT3G23300	AT3G23300	26.304106	29.947939	26.694994	51.387707	40.637512	41.363312
13583	AT3G23310	AT3G23310	26.830963	31.00687	26.00585	26.795509	25.782591	23.6684
13584	AT3G23320	AT3G23320	0.0	0.0	0.0	0.0	0.521188	0.001915
13585	AT3G23325	AT3G23325	16.523161	19.384708	20.251873	40.072716	30.656162	32.328575
13586	AT3G23326	MIR853A	0.367729	0.0	0.0	0.723734	0.317368	1.355596
13587	AT3G23330	PCMP-H32	1.157393	1.674485	1.45497	3.846703	3.373699	3.075105
13588	AT3G23340	ckl10	13.637938	14.856788	13.196202	16.121689	17.79623	18.867292
13589	AT3G23350	AT3G23350	0.0	0.0	0.0	0.022439	0.0	0.0
13590	AT3G23360	AT3G23360	0.0	0.0	0.0	0.0	0.355222	0.0
13591	AT3G23370	AT3G23370	1.386898	0.979485	0.950666	2.820143	1.579779	3.182006
13592	AT3G23380	RIC5	0.0	0.0	0.0	0.0	0.0	0.0
13593	AT3G23390	RPL36AB	467.328644	408.987091	444.848602	833.215393	615.292114	649.37793
13594	AT3G23400	PAP6	14.537107	27.424032	10.423071	21.346828	31.75769	28.830147
13595	AT3G23410	FAO3	2.280615	1.21647	2.108773	4.11708	1.959206	3.500619
13596	AT3G23420	AT3G23420	0.0	0.0	0.0	0.0	0.0	0.0
13597	AT3G23430	PHO1	290.925293	305.853119	234.567398	147.358032	147.310455	136.588364
13598	AT3G23440	EDA6	2.190467	1.403043	0.24558	1.856212	3.12929	3.992603
13599	AT3G23450	AT3G23450	3.831369	2.90799	2.268483	1.309829	2.106767	3.022518
13600	AT3G23470	AT3G23470	1.721895	0.639304	2.187336	5.993971	3.558746	4.12476
13601	AT3G23480	AT3G23480	0.087484	0.284047	0.0	0.0	0.062292	0.0
13602	AT3G23490	CYN	39.332008	42.346695	42.826221	42.141876	38.961193	46.498383
13603	AT3G23510	AT3G23510	1.60107	1.555021	2.229357	2.029054	3.618012	3.58912
13604	AT3G23530	AT3G23530	12.045624	17.709793	13.651099	31.834661	37.824722	34.739815
13605	AT3G23540	AT3G23540	22.989067	25.516117	22.726965	23.767019	27.6509	27.753752
13606	AT3G23550	LAL5	2.387052	1.747888	1.865038	0.0	0.0	0.281743
13607	AT3G23560	ALF5	33.948631	43.878616	42.243034	31.783957	27.705063	31.049828
13608	AT3G23570	AT3G23570	32.409313	35.947254	29.222109	49.343182	45.173702	46.796837
13609	AT3G23580	RNR2A	9.307875	7.966923	10.63166	17.035244	14.712657	14.79947
13610	AT3G23590	MED33A	12.760784	15.005051	11.422837	9.857177	11.113697	8.318916
13611	AT3G23600	AT3G23600	560.86853	598.891479	713.530518	573.360229	585.050598	620.250793
13612	AT3G23605	PUX12	23.494654	18.097887	21.95886	16.194605	23.903622	17.290956
13613	AT3G23610	DSPTP1	5.740891	5.887979	6.415917	4.272484	5.290958	5.580348
13614	AT3G23620	AT3G23620	51.360859	48.298214	44.417362	98.097	56.463974	80.076744
13615	AT3G23630	IPT7	2.521813	2.69545	1.117711	4.613638	3.105101	2.572423
13616	AT3G23633	AT3G23633	0.0	0.0	0.0	0.0	0.011662	0.0
13617	AT3G23635	RTFL13	0.0	0.0	0.0	0.0	0.0	0.0
13618	AT3G23637	DVL21	1.087872	0.0	0.0	0.0	0.0	0.0
13619	AT3G23640	HGL1	43.705032	41.03109	35.554268	25.013985	34.392551	25.886845
13620	AT3G23645	AT3G23645	0.308952	0.0	0.0	0.0	0.0	0.0
13621	AT3G23660	AT3G23660	24.006525	22.406351	22.328403	30.816969	25.069099	25.638237
13622	AT3G23670	KIN12B	5.895152	4.603552	6.372291	8.407502	8.581187	5.942037
13623	AT3G23690	BHLH77	45.661205	53.385193	47.26656	53.627953	55.425358	54.988792
13624	AT3G23700	AT3G23700	11.727576	15.931641	11.440836	7.724112	11.263714	9.548318
13625	AT3G23710	TIC22L	9.109792	10.440927	9.171082	11.250158	11.43352	15.288078
13626	AT3G23730	XTH16	60.583694	26.850861	28.141151	44.540493	21.553764	39.817844
13627	AT3G23740	AT3G23740	2.527758	1.678318	4.165801	5.611165	3.80119	4.60118
13628	AT3G23750	AT3G23750	27.417419	26.708776	27.598204	30.171434	30.273781	26.731453
13629	AT3G23760	AT3G23760	1.392028	2.891199	1.255232	3.749274	1.7967	3.215514
13630	AT3G23770	AT3G23770	0.0	0.0	0.0	0.0	0.0	0.0
13631	AT3G23780	NRPD2	9.351184	8.513738	8.171557	8.547598	9.562056	7.247178
13632	AT3G23790	AAE16	6.975938	6.247045	6.425237	3.168898	5.183464	4.042791
13633	AT3G23800	SBP3	51.2649	41.800415	39.372105	40.194374	39.16394	47.719883
13634	AT3G23805	RALFL24	10.667841	19.338734	11.379649	47.040844	59.738873	49.610741
13635	AT3G23810	SAHH2	62.777794	117.069931	62.23531	434.479767	329.03717	343.784973
13636	AT3G23820	GAE6	93.480438	94.825432	97.723831	140.764526	121.630806	116.219994
13637	AT3G23830	RBG4	119.709152	82.788246	109.236572	135.081604	84.277534	90.812523
13638	AT3G23840	CER26L	0.0	0.471454	0.0	0.0	0.0	0.0
13639	AT3G23850	AT3G23850	0.0	0.0	0.0	0.0	0.0	0.0
13640	AT3G23860	AT3G23860	0.0	0.0	0.0	0.0	0.0	0.0
13641	AT3G23870	AT3G23870	5.759193	7.620542	8.07585	5.893225	5.169718	5.580694
13642	AT3G23880	AT3G23880	18.132458	17.109156	26.251442	1.5881	6.270769	4.716305
13643	AT3G23890	TOP2	19.970491	12.070674	14.122398	23.920671	17.850342	18.345711
13644	AT3G23900	AT3G23900	23.347065	23.365179	23.321218	22.410746	20.723408	21.565792
13645	AT3G23910	AT3G23910	32.593639	27.063343	24.667437	24.850914	23.228827	24.249041
13646	AT3G23920	BAM1	38.892731	57.534119	43.727268	43.279648	47.793869	52.721401
13647	AT3G23930	AT3G23930	4.466963	3.165001	7.294718	3.772047	3.460619	2.746318
13648	AT3G23940	DHAD	43.670868	43.306786	44.502445	67.859657	50.391434	55.535973
13649	AT3G23950	AT3G23950	0.0	0.0	0.0	0.0	0.0	0.278833
13650	AT3G23955	AT3G23955	0.0	0.0	0.0	0.0	0.0	0.0
13651	AT3G23960	AT3G23960	0.0	0.0	0.0	0.0	0.0	0.0
13652	AT3G23970	AT3G23970	0.0	0.0	0.0	0.0	0.0	0.0
13653	AT3G23980	BLI	22.768644	21.709223	18.58543	23.723322	23.107018	21.045006
13654	AT3G23990	CPN60	106.30172	93.172722	101.200668	173.310577	114.373718	125.54834
13655	AT3G24000	PCMP-H87	2.860314	5.383671	6.254496	6.853363	6.08885	6.41096
13656	AT3G24005	AT3G24005	0.0	0.0	0.0	0.007106	0.0	0.0
13657	AT3G24010	ING1	19.554224	18.848572	23.194181	24.725147	26.423738	21.535091
13658	AT3G24020	DIR16	121.101257	54.685352	99.47728	71.848305	78.064941	98.125183
13659	AT3G24030	THIM	16.480618	12.226296	12.524215	15.534191	17.740002	13.71065
13660	AT3G24040	AT3G24040	26.242418	21.161261	24.685024	25.045511	24.037127	27.112587
13661	AT3G24050	GATA1	44.998722	61.74791	47.936726	58.140228	58.32991	59.627857
13662	AT3G24060	AT3G24060	0.834338	0.0	0.0	0.0	0.0	0.0
13663	AT3G24065	AT3G24065	0.0	0.0	0.0	0.654307	1.60359	0.0
13664	AT3G24068	AT3G24068	0.0	0.0	0.0	0.0	0.0	0.0
13665	AT3G24070	AT3G24070	26.720606	24.240133	24.069738	11.343745	15.130179	14.045037
13666	AT3G24080	AT3G24080	53.61121	40.62524	43.868999	70.442688	56.032101	56.928989
13667	AT3G24090	AT3G24090	5.655606	5.614305	6.492716	8.523737	7.842196	6.48632
13668	AT3G24093	AT3G24093	0.0	0.0	0.0	0.0	0.0	0.0
13669	AT3G24100	AT3G24100	99.036247	85.880608	91.662094	105.115288	107.321808	114.418259
13670	AT3G24110	CML22	17.126453	17.246069	21.947098	11.390025	8.603738	13.769929
13671	AT3G24120	AT3G24120	50.893192	41.059158	50.485657	26.705717	32.708031	25.884256
