gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_sham_vs_sbs	lfcSE_condition_stage_sham_vs_sbs	stat_condition_stage_sham_vs_sbs	pvalue_condition_stage_sham_vs_sbs	padj_condition_stage_sham_vs_sbs	contrast_vector	outcome
NA	cc2d1b	449.522569049656	-0.866935687546117	0.292218567013886	-2.96673718034118	0.00300978117507588	0.0106253505350579	1	DE
NA	cc2d2a	53.4789882534383	0.0760502751871051	0.535167810188356	0.142105473721109	0.886996694653395	0.930883019169052	0	not_DE
NA	ccar1	100.008651490031	0.241952818481959	0.216304238718835	1.11857640846541	0.263320892630425	0.398291417187653	0	not_DE
NA	ccar1_1	44.3780393263473	-0.793059230657265	0.411038528682254	-1.92940363327917	0.0536807730195052	0.116330561039529	0	not_DE
NA	ccar2	173.331400741205	0.159921401694657	0.133272861392238	1.19995473965243	0.230156918777449	0.359794703348278	0	not_DE
NA	ccbe1	50.3845330919826	-1.06684607052159	0.34592824442246	-3.0840097266493	0.00204230918229739	0.00764619527415824	1	DE
NA	ccbl1	530.742746053094	1.28864283185462	0.362314884226525	3.55669305335229	0.00037555252445679	0.00174181756440232	1	DE
NA	ccbl2	479.753875035567	0.681808888400507	0.627985534871977	1.08570795112264	0.277608221810429	0.414153758572863	0	not_DE
NA	ccdc102a	227.968716950511	0.408829949553605	0.32246789589757	1.26781597410078	0.204863676250944	0.32979676363192	0	not_DE
NA	ccdc103	7.25027499536011	-0.46093577690959	0.50833201035515	-0.906761265314677	0.364533057477986	0.505120415041093	0	not_DE
NA	ccdc105	0.951903486855142	0.28628139677763	1.14952257510249	0.249043736050252	0.803326950485971	0.873340480876019	0	not_DE
NA	ccdc106a	504.317814024197	1.12233466151175	0.282224463890272	3.97674477272853	6.98650805671554e-05	0.000400344486758444	1	DE
NA	ccdc106b	1.15218234539983	-2.43065602261046	1.98774954638385	-1.2228180492016	0.221398426703312	0.34967464659389	0	not_DE
NA	ccdc113	4.78386035309766	-1.39517889853197	0.551594067584251	-2.52935805608328	0.0114271385116022	0.0327219350499145	1	DE
NA	ccdc114	10.9956963790008	0.606776202614407	0.506011071763838	1.19913621751264	0.230474983352284	0.360166087428491	0	not_DE
NA	ccdc115	0.851038986177029	-1.31950175336065	1.54638451433737	-0.85328179448697	0.393503053469517	0.534234388542632	0	not_DE
NA	ccdc12_1	0.647016100575978	-0.647600523467767	2.10181926423656	-0.308114277229728	0.757995377717898	NA	0	not_DE
NA	ccdc120	11.1145616937375	-0.346705960665924	0.337363859279155	-1.02769147058826	0.3040949812766	0.442528236310562	0	not_DE
NA	ccdc120_1	4.10520205533677	0.0500811898888024	0.644490499993347	0.0777066378624966	0.938061413824391	0.963371269557825	0	not_DE
NA	ccdc124	1142.8291848474	0.628607979626182	0.140973204902345	4.45906000407404	8.23198752310909e-06	5.91622960159828e-05	1	DE
NA	ccdc125	178.854840400888	0.921639767745274	0.36066801800831	2.55536870952622	0.0106075369263324	0.0308187244363969	1	DE
NA	ccdc126	379.494143536549	0.16491523434108	0.158072624606053	1.04328775935796	0.296815038552177	0.434784633896547	0	not_DE
NA	ccdc127a	62.8655902761989	1.20438471615896	0.386106532049487	3.11930676170118	0.00181277122982586	0.00689807157454788	1	DE
NA	ccdc127b	99.303606739205	0.386176111911571	0.228719796357192	1.6884245179568	0.0913297672671666	0.17705506478937	0	not_DE
NA	ccdc129	103.155219043908	0.729889704511086	0.259315310045817	2.81468033793348	0.00488257742506994	0.0160043551478491	1	DE
NA	ccdc13	6.07266359220671	-1.16716457778949	0.595449458380811	-1.96014046425255	0.0499793748291412	0.109938115442578	0	not_DE
NA	ccdc130	14.2082620415721	-0.201155202039846	0.321946915009306	-0.624808602480415	0.532096684001196	0.663286359524333	0	not_DE
NA	ccdc130_1	24.358992080523	0.366550910076124	0.340530138980473	1.07641253480105	0.281742798870138	0.418742013708965	0	not_DE
NA	ccdc135	9.32533181781505	-0.62705277247838	0.536701225402991	-1.16834607934339	0.242667195403223	0.374706698784388	0	not_DE
