task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	ac/924e5c	1544361	fastqc (SRR950082)	COMPLETED	0	2021-09-24 13:52:38.671	1h 36m 24s	11m 18s	167.3%	521 MB	3.3 GB	11.4 GB	4 MB
9	18/83d967	1544344	trim_galore (SRR950087)	COMPLETED	0	2021-09-24 13:52:37.945	1h 44m 5s	1h 29m 25s	182.1%	243.9 MB	3 GB	187.7 GB	177.2 GB
20	c2/0cbe40	1544363	fastqc (SRR950085)	COMPLETED	0	2021-09-24 13:52:38.753	1h 52m 9s	15m 30s	173.6%	460.3 MB	3.3 GB	16.2 GB	3.9 MB
25	ed/d8902b	1544778	star (SRR950087)	COMPLETED	0	2021-09-24 15:36:43.974	27m 19s	27m 4s	576.3%	35.1 GB	37.5 GB	146.8 GB	47.4 GB
29	2a/c89eb4	1544948	qualimap (SRR950087_1Aligned.sortedByCoord.out)	COMPLETED	0	2021-09-24 16:04:03.649	5m 9s	4m 50s	108.1%	12.1 GB	19.6 GB	9.3 GB	494 KB
26	b0/f4e913	1544946	stringtieFPKM (SRR950087_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 16:04:03.574	11m 30s	11m 11s	105.6%	802.5 MB	966.8 MB	9.5 GB	610.6 MB
28	05/524814	1544944	preseq (SRR950087_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 16:04:03.476	20m 5s	19m 46s	99.6%	14 MB	169.3 MB	8.5 GB	490.4 KB
31	87/3ee0c4	1544949	featureCounts (SRR950087_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 16:04:03.679	29m 50s	8m 57s	97.9%	257.7 MB	422.5 MB	23.3 GB	3.7 GB
27	85/2a445d	1544947	markDuplicates (SRR950087_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 16:04:03.610	41m 55s	41m 26s	112.1%	5.1 GB	13.1 GB	26.5 GB	9.6 GB
32	67/316afc	1545293	dupradar (SRR950087_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2021-09-24 16:45:58.813	10m 55s	10m 26s	175.5%	447.3 MB	924.8 MB	43.3 GB	8.1 GB
30	77/60d98a	1544945	rseqc (SRR950087_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 16:04:03.528	2h 9m 28s	1h 27m 33s	93.1%	18.4 GB	18.8 GB	43.1 GB	136.6 MB
22	55/e38050	1544364	trim_galore (SRR950082)	COMPLETED	0	2021-09-24 13:52:38.799	4h 23m 8s	1h 30m 41s	186.2%	247.5 MB	3 GB	197.3 GB	185.8 GB
19	6e/6a4985	1544362	trim_galore (SRR950086)	COMPLETED	0	2021-09-24 13:52:38.726	4h 36m 8s	1h 43m 39s	182.6%	247.8 MB	3 GB	221.2 GB	208.6 GB
33	f3/692ace	1545305	star (SRR950082)	COMPLETED	0	2021-09-24 18:15:46.851	29m 40s	29m 26s	640.4%	35.1 GB	37.5 GB	148.2 GB	47.9 GB
39	da/0a71f4	1545309	qualimap (SRR950082_1Aligned.sortedByCoord.out)	COMPLETED	0	2021-09-24 18:45:27.293	6m 5s	6m 2s	102.0%	11.9 GB	19.6 GB	9.4 GB	501.2 KB
35	d9/a5875e	1545312	featureCounts (SRR950082_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 18:45:27.419	8m 35s	8m 30s	97.5%	246.7 MB	422.6 MB	20.8 GB	1.5 GB
36	9d/4d9d80	1545310	stringtieFPKM (SRR950082_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 18:45:27.328	11m	10m 55s	104.9%	887.2 MB	1016.5 MB	9.6 GB	606.8 MB
8	05/a4610b	1544352	trim_galore (SRR950080)	COMPLETED	0	2021-09-24 13:52:38.311	5h 4m 19s	2h 11m 48s	183.7%	250.1 MB	3 GB	281 GB	265.1 GB
24	11/b7eea7	1544366	trim_galore (SRR950085)	COMPLETED	0	2021-09-24 13:52:38.865	5h 9m 13s	2h 16m 17s	183.7%	250.6 MB	3 GB	288.6 GB	272.2 GB
34	b9/4269d7	1545306	star (SRR950086)	COMPLETED	0	2021-09-24 18:28:46.997	33m 20s	33m 10s	639.7%	35.4 GB	38 GB	168.3 GB	55.9 GB
38	32/a1fc17	1545307	preseq (SRR950082_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 18:45:27.181	21m 15s	21m 8s	99.2%	17.2 MB	172.5 MB	8.6 GB	470.7 KB
44	a5/25b3ed	1545315	qualimap (SRR950086_1Aligned.sortedByCoord.out)	COMPLETED	0	2021-09-24 19:02:07.178	6m 15s	6m 11s	101.6%	12.4 GB	19.7 GB	11 GB	496.1 KB
21	58/2a955c	1544354	trim_galore (SRR950078)	COMPLETED	0	2021-09-24 13:52:38.376	5h 17m 29s	2h 24m 56s	182.9%	249.5 MB	3 GB	308.9 GB	291.6 GB
48	04/6a519c	1545317	featureCounts (SRR950086_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 19:02:07.261	10m 5s	9m 58s	97.6%	255.8 MB	422.5 MB	24.9 GB	2.3 GB
46	0e/c2be32	1545318	stringtieFPKM (SRR950086_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 19:02:07.295	13m 50s	13m 40s	104.4%	1.1 GB	1.2 GB	11.2 GB	614.9 MB
11	04/a68e66	1544353	trim_galore (SRR950079)	COMPLETED	0	2021-09-24 13:52:38.344	5h 26m 49s	2h 34m 12s	185.2%	251.4 MB	3 GB	335.2 GB	316.2 GB
10	8f/4ab857	1544350	trim_galore (SRR950083)	COMPLETED	0	2021-09-24 13:52:38.228	5h 32m 54s	2h 40m 18s	184.6%	249.1 MB	3 GB	345 GB	325.4 GB
47	a0/ad59de	1545320	preseq (SRR950086_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 19:02:07.390	24m 10s	24m 4s	99.5%	17.1 MB	172.4 MB	10.1 GB	487.6 KB
37	27/9afa00	1545311	markDuplicates (SRR950082_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 18:45:27.361	42m 55s	42m 42s	111.9%	5.4 GB	13.2 GB	26.8 GB	9.7 GB
23	df/e3906b	1544365	trim_galore (SRR950081)	COMPLETED	0	2021-09-24 13:52:38.830	5h 36m 53s	2h 43m 48s	183.9%	244.8 MB	3 GB	344.8 GB	325.3 GB
52	e1/78d570	1545324	dupradar (SRR950082_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2021-09-24 19:28:22.419	9m 45s	9m 42s	182.4%	456.5 MB	924.7 MB	40.5 GB	5.4 GB
41	48/06cd6c	1545313	star (SRR950080)	COMPLETED	0	2021-09-24 18:56:57.173	43m 20s	43m 3s	658.3%	35.5 GB	38.2 GB	205 GB	70.3 GB
13	6c/998ceb	1544358	trim_galore (SRR950084)	COMPLETED	0	2021-09-24 13:52:38.527	5h 48m 24s	2h 55m 47s	185.2%	252.8 MB	3 GB	379.6 GB	358.1 GB
42	14/564e5f	1545314	star (SRR950085)	COMPLETED	0	2021-09-24 19:01:52.263	41m 6s	40m 49s	636.6%	35.4 GB	38 GB	208.8 GB	71.6 GB
54	d5/79f108	1545326	qualimap (SRR950080_1Aligned.sortedByCoord.out)	COMPLETED	0	2021-09-24 19:40:17.480	8m 21s	8m 17s	99.2%	11.3 GB	19.5 GB	13.5 GB	494.8 KB
66	5f/6841bb	1545335	qualimap (SRR950085_1Aligned.sortedByCoord.out)	COMPLETED	0	2021-09-24 19:42:58.778	7m 29s	7m 25s	105.2%	11.8 GB	19.6 GB	13.7 GB	500.1 KB
56	9c/551bb8	1545328	featureCounts (SRR950080_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 19:40:17.588	12m 55s	12m 53s	97.6%	280 MB	486.5 MB	32.6 GB	4.4 GB
45	d5/aabe13	1545316	markDuplicates (SRR950086_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 19:02:07.221	52m 46s	52m 30s	116.2%	6.8 GB	14.2 GB	31.6 GB	11.4 GB
