task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
124	31/50e742	687546	featureCounts (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-10 10:04:08.608	34.5s	28.5s	98.6%	137.1 MB	335.6 MB	1.6 GB	24.7 MB
113	c0/60a6d9	687532	stringtieFPKM (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-10 10:03:48.562	1m 15s	1m 11s	112.0%	370.3 MB	462.5 MB	1.7 GB	351.2 MB
115	7e/4c3832	687540	stringtieFPKM (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-10 10:03:58.775	1m 9s	1m 6s	112.7%	371.2 MB	461.6 MB	1.7 GB	351.3 MB
102	ea/c5628d	687527	qualimap (SRX1836008_SRR3655794.sorted)	COMPLETED	0	2023-01-10 10:03:20.564	1m 58s	1m 53s	101.8%	10.1 GB	19.3 GB	1.6 GB	515.7 KB
120	8f/7af68d	687542	stringtieFPKM (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-10 10:04:08.284	1m 10s	1m 7s	110.3%	367 MB	461.9 MB	1.7 GB	345 MB
126	ed/74c5bf	687548	hisat2_sortOutput (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-10 10:04:38.257	59.8s	53.6s	286.0%	12.6 GB	24.5 GB	3.7 GB	1.1 GB
108	dc/d279e3	687530	qualimap (SRX1836012_SRR3655802.sorted)	COMPLETED	0	2023-01-10 10:03:48.255	1m 55s	1m 50s	101.9%	9.9 GB	19.3 GB	1.6 GB	544.3 KB
116	10/d56448	687536	qualimap (SRX1836011_SRR3655800.sorted)	COMPLETED	0	2023-01-10 10:03:58.211	2m	1m 52s	101.5%	9.9 GB	19.3 GB	1.6 GB	509.7 KB
122	2e/d5b4b6	687544	qualimap (SRX1836007_SRR3655792.sorted)	COMPLETED	0	2023-01-10 10:04:08.477	1m 55s	1m 50s	100.7%	10.1 GB	19.3 GB	1.6 GB	543.1 KB
131	82/f7bc9e	687554	featureCounts (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-10 10:05:39.146	34s	29.3s	98.6%	135.5 MB	335.6 MB	1.6 GB	24.7 MB
134	aa/8a2555	687555	merge_featureCounts (SRX1836010_SRR3655797_gene.featureCounts)	COMPLETED	0	2023-01-10 10:06:13.267	4.9s	623ms	256.9%	32.9 MB	224.4 MB	940.3 MB	621.3 MB
133	b2/7ab7c3	687556	sample_correlation (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-10 10:06:13.370	9.7s	3.8s	89.0%	171 MB	303.2 MB	9.6 MB	166.8 KB
105	86/efe489	687525	preseq (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-10 10:03:19.632	3m 33s	3m 30s	99.6%	18.4 MB	104.8 MB	1 GB	465.1 KB
130	4e/0a8449	687551	stringtieFPKM (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-10 10:05:38.833	1m 19s	1m 11s	109.6%	376.6 MB	462.1 MB	1.7 GB	346.6 MB
110	17/f76a23	687531	preseq (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-10 10:03:48.432	3m 25s	3m 22s	99.5%	16 MB	102.6 MB	1.1 GB	463 KB
114	51/4b7334	687538	preseq (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-10 10:03:58.444	3m 30s	3m 26s	99.6%	16.7 MB	103.2 MB	1.1 GB	462.7 KB
127	81/44e07c	687552	qualimap (SRX1836009_SRR3655796.sorted)	COMPLETED	0	2023-01-10 10:05:38.951	1m 59s	1m 53s	109.0%	10.1 GB	19.3 GB	1.6 GB	537 KB
121	5a/7c3b55	687543	preseq (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-10 10:04:08.395	4m 15s	4m 9s	99.6%	19.1 MB	105.7 MB	1.1 GB	469.2 KB
104	25/c05a3b	687524	markDuplicates (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-10 10:03:18.803	5m 29s	5m 22s	103.7%	4.3 GB	11.4 GB	3.5 GB	1.4 GB
