gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_sham_vs_sbs	lfcSE_condition_stage_sham_vs_sbs	stat_condition_stage_sham_vs_sbs	pvalue_condition_stage_sham_vs_sbs	padj_condition_stage_sham_vs_sbs	contrast_vector	outcome
myo15aa	myo15aa	293.064870294514	0.779222133639517	0.150261892773106	5.18576013691066	2.15135557374842e-07	1.91994112929165e-06	1	DE
myo15ab	myo15ab	6.31614164010674	-0.0459440904462424	0.622012850236869	-0.0738635711926955	0.941118942613032	0.963150167454306	0	not_DE
myo15b	myo15b	3381.05027844	0.934448230118708	0.518879362183543	1.80089689091964	0.0717191331385609	0.14220297192786	0	not_DE
myo15b	myo15b_1	2439.92914563329	1.13859658441894	0.316257671331961	3.60021807415322	0.000317950405058572	0.00139556272274273	1	DE
myo16	myo16	73.6684907445709	4.21759764969324	0.404791855252972	10.4191761641486	2.02701354433801e-25	1.28794500392762e-23	1	DE
myo18aa	myo18aa	610.548591966943	1.51886488043753	0.330340010200804	4.59788349438585	4.26804535702007e-06	2.9716103817508e-05	1	DE
myo18ab	myo18ab	891.124078069478	0.72186404473622	0.177894741712497	4.05781552499655	4.9533869772789e-05	0.000267776108487638	1	DE
myo19	myo19	60.0659812635748	-0.279863522981407	0.389331952378267	-0.718830091575678	0.472245614418576	0.603098198851184	0	not_DE
myo1b	myo1b	6650.3928776587	1.12401981601997	0.366116680168597	3.07011364656304	0.00213977332471383	0.00736669607150353	1	DE
myo1ca	myo1ca	984.590230953813	0.405743082543333	0.299210768201111	1.35604438631238	0.175085045940489	0.286917448440773	0	not_DE
myo1cb	myo1cb	4672.60986991826	0.996985128198334	0.179363095915448	5.55847412819143	2.7214328747681e-08	2.8437507980955e-07	1	DE
myo1ea	myo1ea	563.82243087283	0.119341070899264	0.263168764897634	0.453477337805209	0.650205058279069	0.756244125557429	0	not_DE
myo1eb	myo1eb	1091.08453788531	0.0438998324278006	0.351932149491541	0.124739477456736	0.90072980297761	0.93864314265889	0	not_DE
myo1f	myo1f	717.370064290583	-2.28518045503507	0.585992453582882	-3.89967556930639	9.63216694792845e-05	0.000485748523113745	1	DE
myo1ha	myo1ha	0.350543250973106	0.310508866877296	2.24034522213407	0.138598669441452	0.889767294794489	NA	0	not_DE
myo1hb	myo1hb	33.3085406981866	-3.26035284070285	0.71528988215821	-4.5580860599699	5.16218858961745e-06	3.54572839095322e-05	1	DE
myo1hb	myo1hb_1	0.54352635370176	0.0436686725336184	3.06819953549071	0.0142326703424894	0.988644355459439	NA	0	not_DE
myo3a	myo3a	39.7683361554338	-3.55891318169653	1.05075094542863	-3.38701877659958	0.000706565518709179	0.00282682239642174	1	DE
myo3b	myo3b	36.4717196799072	-0.702487482886038	0.347606758232461	-2.02092584867482	0.0432874416491725	0.0942127450906278	0	not_DE
myo5aa	myo5aa	4.62451390821324	-5.49347557431444	2.37247078293538	-2.31550820934349	0.0205851358126033	0.0509828228643023	0	not_DE
myo5aa	myo5aa_1	7.72783097986865	-1.62998541011495	1.07503476395115	-1.51621646552541	0.129464625916756	0.226756366390096	0	not_DE
myo5ab	myo5ab	308.885569701677	0.538181907108123	0.309364134318175	1.73963898011078	0.081922430126482	0.15833984368558	0	not_DE
myo5b	myo5b	5085.73144266486	2.74225364906441	0.197288567700879	13.8997088428464	6.35995486972406e-44	1.05545961571572e-41	1	DE
myo5c	myo5c	251.414852791788	0.23741697260401	0.310369137158206	0.764950325853405	0.44430112466306	0.577895168694453	0	not_DE
myo6a	myo6a	4434.62874904901	-0.371485976856728	0.31183634332871	-1.19128505962867	0.233541697060019	0.358316970277902	0	not_DE
myo6b	myo6b	1131.79518943896	-0.380943212463697	0.300245068621479	-1.26877425235568	0.204521590782597	0.324224304140963	0	not_DE
myo7aa	myo7aa	19.2453118776248	-1.69966133807155	0.538390230983211	-3.15693198029917	0.0015943853332044	0.00572911253989759	1	DE
myo7ab	myo7ab	26.6332362778143	-1.13685620211857	0.721082024838645	-1.57659761713372	0.114888141404874	0.206213477345493	0	not_DE
myo7ab	myo7ab_1	3.40545650600515	-1.91279525693655	1.99975221446859	-0.956516133897546	0.338811537146191	0.473382343676926	0	not_DE
myo7bb	myo7bb	6754.68825418423	-0.399216698847758	0.36887978831023	-1.08224064179958	0.279145613818026	0.408744883529327	0	not_DE
myo9aa	myo9aa	308.916234693613	0.390951751952251	0.167947682090907	2.32781868189545	0.0199217336429144	0.0496468811640502	1	DE
myo9ab	myo9ab	115.93436324107	-0.556932613411642	0.310665004523577	-1.79271113676203	0.0730191248422421	0.14436142520147	0	not_DE
myo9b	myo9b	1275.92154001315	0.354599182249776	0.198597005068405	1.78552129790495	0.0741767998935546	0.146249005574091	0	not_DE
myoc	myoc	92.5953232527522	3.46872523456708	0.463731874294271	7.48002332133402	7.43094232342306e-14	1.7501915976503e-12	1	DE
myocd	myocd	297.436799636868	0.672818532024713	0.265504040748136	2.53411786174269	0.0112730807933135	0.0306657460381034	1	DE
myod1	myod1	4.00878296859885	-1.07951394896034	0.963830306426588	-1.12002490662766	0.26270314856569	0.391070340665065	0	not_DE
myof	myof	155.748837982194	-3.95174457546431	0.42896467137746	-9.21228445870556	3.19256729718327e-20	1.40056539254692e-18	1	DE
myofl	myofl	1093.34445243036	-1.92404829317466	0.426766431553601	-4.50843400726329	6.53078759577274e-06	4.36973785420073e-05	1	DE
myog	myog	0	NA	NA	NA	NA	NA	NA	not_DE
myom1a	myom1a	48.228144974297	0.869738216690933	0.479094849738781	1.81537793020556	0.069465850313674	0.138574620337084	0	not_DE
myom1b	myom1b	129.668255457737	2.42236295187751	0.504723475773877	4.79938633360252	1.59152530346968e-06	1.20162304040775e-05	1	DE
myom2a	myom2a	30.5310413078479	-0.607052900869721	0.419130829951081	-1.44836136473323	0.147516013994962	0.250865735388858	0	not_DE
myom2b	myom2b	7.71785196773708	0.759574256339429	0.664801383076267	1.1425581770372	0.25322207843905	0.380368423070627	0	not_DE
myom3	myom3	9.3249117566997	-0.303242668977651	0.521753275492471	-0.581199358435128	0.561106100017803	0.683073914996027	0	not_DE
myot	myot	0.113113444005126	1.23896439593828	3.11010322526482	0.398367612326689	0.690359228135763	NA	0	not_DE
myot	myot_1	0.201921045697814	-0.82810677088138	3.10340574229779	-0.266838061035565	0.789593847924057	NA	0	not_DE
myoz1a	myoz1a	0.724070563862346	-2.81119118809753	2.06868446597722	-1.35892700618775	0.174169720138217	NA	0	not_DE
myoz1b	myoz1b	1.31561762256091	0.474030811015959	1.38409414483417	0.342484514355599	0.731986295920785	0.819664186477787	0	not_DE
myoz2a	myoz2a	5.73034153780268	-1.28906730630426	0.579927383507483	-2.22280813592178	0.0262287402486322	0.0623229062520486	0	not_DE
myoz2b	myoz2b	1.47475089929174	-3.89744489742367	1.20318205723099	-3.23928109964776	0.00119831409603968	0.00448412298955657	1	DE
myoz3a	myoz3a	0.0595157068936321	0.791048583195397	3.11653965008542	0.253822723921935	0.799632517075624	NA	0	not_DE
mypn	mypn	1.12246675854421	-0.0748675653680317	1.20926443606474	-0.0619116573143175	0.950633184114105	0.968797101009888	0	not_DE
myrf	myrf	97.880280642949	-1.57559860107555	0.474301355153176	-3.32193569332457	0.000893952941944437	0.00347724949275997	1	DE
myrfl	myrfl	4693.65361271891	-0.149053378407921	0.188980904408009	-0.788721902219896	0.430274563844045	0.564061733341963	0	not_DE
myrip	myrip	1.27046164800397	0.619434088233814	1.00139681116011	0.618570062666972	0.536199628925517	0.660993198894888	0	not_DE
myrip	myrip_1	1.27046164800397	0.619434088233814	1.00139681116011	0.618570062666972	0.536199628925517	0.660993198894888	0	not_DE
mysm1	mysm1	152.378039691596	0.518518722371556	0.150961757215717	3.43476872510578	0.000593059737130241	0.0024187440370429	1	DE
myt1a	myt1a	18.0383366121333	-2.08837628844681	0.447536197052628	-4.66638520459436	3.06544778599953e-06	2.19675910232495e-05	1	DE
myt1b	myt1b	17.0005349769421	0.656172104987131	0.302585069837038	2.16855413699203	0.030116550309501	0.0698886827559487	0	not_DE
myt1la	myt1la	0.611804966833137	-1.1755904452919	1.77715174185681	-0.661502570435326	0.50829006673377	NA	0	not_DE
myt1lb	myt1lb	1.23920765277027	-0.179475446636484	1.01830437037195	-0.17624931391675	0.860098080215552	0.910868385466951	0	not_DE
myzap	myzap	546.313751638898	1.31440762770401	0.37300990436463	3.52378747138878	0.000425425332552658	0.00180298286519503	1	DE
mzt2b	mzt2b	159.507148977459	-0.806776320282128	0.160086749891987	-5.03961958642094	4.66458089453029e-07	3.92469161052282e-06	1	DE
n4bp1	n4bp1	422.357464554821	-0.68782183127414	0.169701376983703	-4.05313052551244	5.0536787149586e-05	0.00027239112304451	1	DE
n4bp2	n4bp2	355.359803448515	0.274906411822	0.141036211406954	1.94919027588433	0.0512727058074172	0.108457358825333	0	not_DE
n4bp2l2	n4bp2l2	343.891175994382	0.174242361855792	0.107491349115405	1.62098962651145	0.105019863459923	0.192153637416157	0	not_DE
n4bp3	n4bp3	5.04483816029134	-3.24345882632757	0.888477863110398	-3.65057922205604	0.000261649588389019	0.00117544271898718	1	DE
n6amt1	n6amt1	155.525934407487	0.171824065719085	0.164159460081181	1.04669000272122	0.295242576090209	0.426301887915028	0	not_DE
n6amt2	n6amt2	172.137356406167	0.679421702724726	0.141153536308951	4.81335232889694	1.48419283408179e-06	1.12835335261342e-05	1	DE
naa10	naa10	750.179637600152	0.379726684907162	0.180424511121221	2.10462914682383	0.035323602425417	0.0797634832316843	0	not_DE
naa15a	naa15a	979.369103258557	0.625100875437626	0.1048977779734	5.95914315359606	2.53563907250846e-09	3.16171505704527e-08	1	DE
naa15b	naa15b	551.054911549217	-0.213139437144552	0.138028418168579	-1.54417068580933	0.122546988370515	0.21703628320201	0	not_DE
naa20	naa20	244.186492798443	-0.220320864586183	0.124775025264309	-1.765744900628	0.0774386561852722	0.151293112896014	0	not_DE
naa25	naa25	482.627307717534	0.334496417263941	0.118974969824693	2.81148562388218	0.00493132943971327	0.0151495293041977	1	DE
naa30	naa30	401.179373135402	-0.0688963931849249	0.154207725651662	-0.446776534014607	0.655036415925027	0.759660071902129	0	not_DE
naa35	naa35	564.125302907598	-0.116017858943243	0.0950111310602652	-1.22109754560919	0.222049088889369	0.345256470954516	0	not_DE
naa38	naa38	174.442889986314	0.206668213161345	0.178188167037085	1.15983129855268	0.246117498399139	0.372625526506109	0	not_DE
naa40	naa40	198.004560527303	-0.541307260361218	0.256241472740412	-2.11248887454528	0.0346445392193041	0.0784407595195175	0	not_DE
naa50	naa50	1032.23957171395	0.375508937857236	0.256884741370746	1.4617798466873	0.143801548455671	0.246091862943982	0	not_DE
naalad2	naalad2	874.463413595385	1.75761482933672	0.582992606863555	3.01481495415957	0.00257136083557549	0.00863682783986575	1	DE
nab1a	nab1a	47.3451344777664	-1.17729489134066	0.464106433186447	-2.53669160166047	0.0111905487262226	0.0304708108396984	1	DE
nab1b	nab1b	186.21680439332	-1.9588710411539	0.637331302325295	-3.07355222316398	0.00211526661613584	0.00729526940005832	1	DE
nab2	nab2	46.0651222836485	-0.932157354369249	0.314075028416635	-2.96794482219293	0.00299798143307456	0.00984816794495452	1	DE
nabp1a	nabp1a	394.29927729164	-0.177644680376379	0.287578382319484	-0.617726127199036	0.536755886320234	0.661310307337496	0	not_DE
nabp1b	nabp1b	0.728015852152937	-2.29362990570078	1.52415064751476	-1.50485774450229	0.132360654040714	NA	0	not_DE
naca	naca	29074.234321628	1.43932270984392	0.190793281313645	7.543885717222	4.56170933676855e-14	1.10113988535872e-12	1	DE
nacad	nacad	70.0422397690356	0.266474796817142	0.58167298408577	0.458117884288484	0.646867750788811	0.753578673331537	0	not_DE
nacc1b	nacc1b	16.53751823093	1.00560056241115	0.429381690803818	2.34197354928812	0.0191820743203421	0.0480838541916555	1	DE
nacc2	nacc2	55.3213964650803	-0.702878194861655	0.43939088164781	-1.59966495487051	0.109672930294434	0.198857077823254	0	not_DE
